file,#,organization-name,city-state,organization-type,position-held,from,to
"White House/Trump, Donald J",401,Trump Marks Tampa LLC,"New York, NY",LLC,President/Member,10/26/2007,1/19/2017
"White House/Trump, Donald J",402,Trump Marks Toronto Corp.,"New York, NY",Corporation,Director/President,8/09/07,1/19/2017
"White House/Trump, Donald J",403,Trump Marks Toronto LLC,"New York, NY",LLC,President/Member,8/9/2007,1/19/2017
"White House/Trump, Donald J",404,Trump Marks Toronto LP ( formally Trump Toronto Management LP),"New York, NY",Partnership,Partner,3/19/2008,1/19/2017
"White House/Trump, Donald J",405,Trump Marks Waikiki Corp.,"New York, NY",Corporation,Director/President,4/10/2007,1/19/2017
"White House/Trump, Donald J",406,Trump Marks Waikiki LLC,"New York, NY",LLC,President/Member,4/9/2007,1/19/2017
"White House/Trump, Donald J",407,Trump Marks Westchester Corp.,"New York, NY",Corporation,Director/President,6/13/07,1/19/2017
"White House/Trump, Donald J",408,Trump Marks Westchester LLC,"New York, NY",LLC,President/Member,06/13/07,1/19/2017
"White House/Trump, Donald J",409,Trump Marks White Plains Corp.,"New York, NY",Corporation,President/Director,6/13/2007,1/19/2017
"White House/Trump, Donald J",410,Trump Marks White Plains LLC,"New York, NY",LLC,President/Member,6/13/2007,1/19/2017
"White House/Trump, Donald J",411,Trump Miami Resort Management LLC,"New York, NY",LLC,President/Member,03/22/12,1/19/2017
"White House/Trump, Donald J",412,Trump Miami Resort Management Member Corp.,"New York, NY",Corporation,President/Director/Chairman,3/22/2012,1/19/2017
"White House/Trump, Donald J",413,Trump National Golf Club Colts Neck LLC,"New York, NY",LLC,President/Member,7/10/08,1/19/2017
"White House/Trump, Donald J",414,Trump National Golf Club Colts Neck Member Corp.,"New York, NY",Corporation,President/Director/Chairman,07/10/08,1/19/2017
"White House/Trump, Donald J",415,Trump National Golf Club LLC (Trump National Golf Club - Westchester),"New York, NY",LLC,President,08/02/00,1/19/2017
"White House/Trump, Donald J",416,Trump National Golf Club Member Corp,"New York, NY",Corporation,Director/President/Chairman,11/09/11,1/19/2017
"White House/Trump, Donald J",417,Trump National Golf Club Washington DC LLC,"New York, NY",LLC,President,02/03/09,1/19/2017
"White House/Trump, Donald J",418,Trump National Golf Club Washington DC Member Corp.,"New York, NY",Corporation,President/Chairman/Director,02/03/09,1/19/2017
"White House/Trump, Donald J",419,Trump Ocean Manager Inc. ,"New York, NY",Corporation,President,09/14/06,11/10/2016
"White House/Trump, Donald J",420,Trump Ocean Managing Member LLC,"New York, NY",LLC,President,08/31/06,10/27/2015
"White House/Trump, Donald J",421,Trump Old Post Office LLC,"New York, NY",LLC,President/Member,06/30/11,1/19/2017
"White House/Trump, Donald J",422,Trump Old Post Office Member Corp.,"New York, NY",Corporation,President/Director/Chairman,06/30/11,1/19/2017
"White House/Trump, Donald J",423,Trump On the Ocean LLC,"New York, NY",LLC,President,9/14/06 & 2/27/2007,10/28/2015
"White House/Trump, Donald J",424,Trump Organization LLC,"New York, NY",LLC,Chairman and President/Member,"2/1/09 & August, 2000",1/19/2017
"White House/Trump, Donald J",425,"The Trump Organization, Inc. ","New York, NY",Corporation,Director/President/Chairman,05/01/81,1/19/2017
"White House/Trump, Donald J",426,"Trump Pageants, Inc. ","New York, NY",Corporation,Director & Chairman/President,10/16/96 & 5/1/06,1/19/2017
"White House/Trump, Donald J",427,Trump Palace Condominium,"New York, NY",Condominium Association,President,3/27/91,1/19/2017
"White House/Trump, Donald J",428,Trump Palace/Parc LLC,"New York, NY",LLC,Member,10/1/1996,1/19/2017
"White House/Trump, Donald J",429,Trump Panama Condominium Management LLC,"New York, NY",LLC,President/Member,12/13/10,1/19/2017
"White House/Trump, Donald J",430,Trump Panama Condominium Member Corp.,"New York, NY",Corporation,President/Director/Chairman,12/13/10,1/19/2017
"White House/Trump, Donald J",431,Trump Panama Hotel Management LLC,"New York, NY",LLC,Member,08/05/10,1/19/2017
"White House/Trump, Donald J",432,Trump Panama Hotel Management Member Corp,"New York, NY",Corporation,President/Director/Chairman,08/05/10,1/19/2017
"White House/Trump, Donald J",433,Trump Parc East Condominium,"New York, NY",Condominium Association,President,04/30/98,1/19/2017
"White House/Trump, Donald J",434,Trump Park Avenue Acquisition LLC,"New York, NY",LLC,Member/President,Nov. 2004,1/19/2017
"White House/Trump, Donald J",435,Trump Park Avenue LLC,"New York, NY",LLC,President,01/31/02,1/19/2017
"White House/Trump, Donald J",436,Trump Payroll Chicago LLC,"New York, NY",LLC,President,08/29/07,1/19/2017
"White House/Trump, Donald J",437,Trump Payroll Corp.,"New York, NY",Corporation,President/Treasurer/Secretary/Director ,4/16/1996,1/19/2017
"White House/Trump, Donald J",438,Trump Phoenix Development LLC,"New York, NY",LLC,President/Member,08/28/03,1/19/2017
"White House/Trump, Donald J",439,Trump Plaza LLC,"New York, NY",LLC,Member,10/27/1997,1/19/2017
"White House/Trump, Donald J",440,Trump Plaza Member Inc. (F/K/A Trump Plaza Corp.),"New York, NY",Corporation,Director/President/Treasurer,08/02/04,1/19/2017
"White House/Trump, Donald J",442,Trump Productions LLC (former Rancho Lien LLC),"New York, NY",LLC,Member/President,5/18/2006,1/19/2017
"White House/Trump, Donald J",443,Trump Production Managing Member Inc ,"New York, NY",Corporation,Director/Chairman/President/Treasurer/Secretary,5/18/2006,1/19/2017
"White House/Trump, Donald J",444,Trump Project Management Corp.,"New York, NY",Corporation,President,4/16/1996,11/10/2016
"White House/Trump, Donald J",446,"Trump Realty Services, LLC (f/k/a Trump Mortgage Services LLC (03) & Tower Mortgage Services LLC)","Palm Beach, Florida",LLC,President/Member,5/9/2000,1/19/2017
"White House/Trump, Donald J",447,Trump Restaurants LLC,"New York, NY",LLC,President/Member,7/31/12,1/19/2017
"White House/Trump, Donald J",449,Trump Riverside Management LLC,"New York, NY",LLC,Member,09/26/00,1/19/2017
"White House/Trump, Donald J",450,Trump Ruffin Commercial LLC,"New York, NY",LLC,President,7/25/2007,1/19/2017
"White House/Trump, Donald J",451,Trump Ruffin LLC,"Las Vegas, NV",LLC,President,10/22/02,1/19/2017
"White House/Trump, Donald J",452,Trump Ruffin Tower I LLC,"Las Vegas, NV",LLC,President & Director,4/8/2005 & 7/12/05,1/19/2017
"White House/Trump, Donald J",453,Trump Sales & Leasing Chicago LLC,"Chicago, IL",LLC,Member/President,10/20/09 & 10/21/09,1/19/2017
"White House/Trump, Donald J",454,Trump Sales & Leasing Chicago Member Corp,"Chicago, IL",Corporation,Member/Director/President,10/20/09 & 10/21/09 & 10/21/09,1/19/2017
"White House/Trump, Donald J",455,Trump Scotland Member Inc ,"Aberdeen, Scotland",Corporation,Director/President/Chairman,03/01/06,1/19/2017
"White House/Trump, Donald J",456,Trump Scotsborough Square LLC,"Scotsborough Sq., VA",LLC,President,7/7/2011,1/19/2017
"White House/Trump, Donald J",457,Trump Scotsborough Square Member Corp.,"Scotsborough Sq., VA",Corporation,President/Chairman/Director,7/7/2011,1/19/2017
"White House/Trump, Donald J",458,Trump SoHo Hotel Condominium New York,"New York, NY",Condominium Association,Member of the Board,8/3/2007,1/19/2017
"White House/Trump, Donald J",459,Trump Soho Member LLC,"New York, NY",LLC,Member/President,4/24/2006,1/19/2017
"White House/Trump, Donald J",460,Trump Toronto Development Inc,"New York, NY",Corporation,President/Director/Secretary,4/2/2003,1/19/2017
"White House/Trump, Donald J",461,Trump Toronto Hotel Management Corp.,"Toronto, CA",Corporation,President,5/30/2008,1/19/2017
"White House/Trump, Donald J",462,Trump Toronto Member Corp.(formally Trump Toronto Management Member Corp),"New York, NY",Corporation,Director/Chairman,3/19/2008,1/19/2017
"White House/Trump, Donald J",463,Trump Tower Commercial LLC,"New York, NY",LLC,President,12/22/1997,1/19/2017
"White House/Trump, Donald J",464,Trump Tower Condominium Residential Section,"New York, NY",Condominium Association,President,3/23/1983,1/19/2017
"White House/Trump, Donald J",465,Trump Tower Managing Member Inc,"New York, NY",Corporation,President,12/22/1997,1/19/2017
"White House/Trump, Donald J",466,Trump Village Construction Corp,"New York, NY",Corporation,Director/Vice President,08/01/69,1/19/2017
"White House/Trump, Donald J",467,Trump Vineyard Estates LLC,"New York, NY",LLC,President,3/18/2011,1/19/2017
"White House/Trump, Donald J",468,Trump Vineyard Estates Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,3/18/2011,1/19/2017
"White House/Trump, Donald J",469,Trump Vineyard Estates Lot 3 Owner LLC (fka Eric Trump Land Holdings LLC),"New York, NY",LLC,President,8/15/2011,1/19/2017
"White House/Trump, Donald J",470,Trump Vineyard Estates Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,3/18/2011,1/19/2017
"White House/Trump, Donald J",471,Trump Virginia Acquisitions LLC (fka Virginia Acquisitions LLC),"New York, NY",LLC,Member/President,3/4/2011 & 1/25/11,1/19/2017
"White House/Trump, Donald J",472,Trump Virginia Acquisitions Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,3/15/2011,1/19/2017
"White House/Trump, Donald J",473,Trump Virginia Lot 5 LLC,"New York, NY",LLC,President,6/28/2011,1/19/2017
"White House/Trump, Donald J",474,Trump Virginia Lot 5 Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,6/28/2011,1/19/2017
"White House/Trump, Donald J",475,Trump Wine Marks LLC,"New York, NY",LLC,President/Secretary/Treasurer,6/21/2011,1/19/2017
"White House/Trump, Donald J",476,Trump Wine Marks Member Corp.,"New York, NY",Corporation,Director & Chairman/ President,6/21/2011 & 6/21/08,1/19/2017
"White House/Trump, Donald J",477,Trump World Productions LLC,"New York, NY",LLC,Member/President,9/29/2011,1/19/2017
"White House/Trump, Donald J",478,Trump World Productions Manager Corp.,"New York, NY",Corporation,Director/Chairman/President,9/29/2011,1/19/2017
"White House/Trump, Donald J",479,Trump World Publications LLC,"New York, NY",LLC,Member/President,9/29/2011,1/19/2017
"White House/Trump, Donald J",480,Trump/New World Property Management LLC,"New York, NY",LLC,President,11/22/2000,1/19/2017
"White House/Trump, Donald J",481,Trump's Castle Management Corp.,"Atlantic City, NJ",Corporation,President,3/24/1992,1/19/2017
"White House/Trump, Donald J",482,Trump Marks White Plains Corp.,"New York, NY",Corporation,President/Director,6/13/2007,1/19/2017
"White House/Trump, Donald J",484,Turnberry Scotland Managing Member Corp.,"Turnberry, Scotland",Corporation,Director/Chairman/President,4/9/2014,1/19/2017
"White House/Trump, Donald J",485,Tumberry Scotland LLC,"Turnberry, Scotland",LLC,President,4/9/2014,1/19/2017
"White House/Trump, Donald J",486,TW Venture I LLC ,"Palm Beach, Florida",LLC,President,11/19/13,1/19/2017
"White House/Trump, Donald J",487,TW Venture II LLC ,"Doonbeg, Ireland",LLC,President,01/31/14,1/19/2017
"White House/Trump, Donald J",488,TW Venture I Managing Member Corp,"Palm Beach, Florida",Corporation,President/Director/Chairman,11/19/13,1/19/2017
"White House/Trump, Donald J",489,TW Venture II Managing Member Corp,"Doonbeg, Ireland",Corporation,President/Director/Chairman,1/31/2014,1/19/2017
"White House/Trump, Donald J",490,Ultimate Air Corp.,"New York, NY",Corporation,President/Treasurer/Secretary/Director,4/16/96 &12/9/1993,1/19/2017
"White House/Trump, Donald J",491,Unit 2502 Enterprises Corp,"Chicago, IL",Corporation,President/Director,7/21/2008,1/19/2017
"White House/Trump, Donald J",492,Unit 2502 Enterprises LLC ,"Chicago, IL",LLC,Member/President,7/16/08 & 7/18/08,1/19/2017
"White House/Trump, Donald J",493,VH Property Corp. (Trump National Golf Club - Los Angeles) ,"Los Angeles, CA",Corporation,Secretary/President/Director,9/22/00 & 12/2/02 11/26/02 & 11/25/02,1/19/2017
"White House/Trump, Donald J",494,VHPS LLC,"Los Angeles, CA",LLC,President/Member,5/28/08 & 12/1/04,1/19/2017
"White House/Trump, Donald J",495,West Palm Operations LLC ,"WPB, Florida",LLC,Member/President,8/27/10 & 9/1/10,1/19/2017
"White House/Trump, Donald J",496,Wexford Hall Inc ,"New York, NY",Corporation,Director/Vice President,8/1/1969,1/19/2017
"White House/Trump, Donald J",497,White Course LLC ,"Miami, Florida",LLC,President,3/20/2012,1/19/2017
"White House/Trump, Donald J",498,White Course Managing Member Corp.,"Miami, Florida",Corporation,Director/Chairman/President,3/20/2012,1/19/2017
"White House/Trump, Donald J",499,Wilshire Hall LLC ,"New York, NY",LLC,Member,11/22/1995,1/19/2017
"White House/Trump, Donald J",500,Wollman Rink Operations LLC,"New York, NY",LLC,Member/President,9/24/01 & 11/1/01,1/19/2017
"White House/Trump, Donald J",501,Yorktown Real Estate LLC (F/K/A/ Yorktown Development Associates LLC) ,"New York, NY",LLC,Member/President,9/30/1997,1/19/2017
"White House/Trump, Donald J",502,"The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump ","New York, NY",Trust,Trustee,December-76,1/19/2017
"White House/Trump, Donald J",504,"The Fred C. Trump December 16, 1976 Trust- F/B/O Robert S. Trump ","New York, NY",Trust,Trustee,December-76,1/19/2017
"White House/Trump, Donald J",505,"The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump ","New York, NY",Trust,Trustee,December-76,1/19/2017
"White House/Trump, Donald J",509,"Fred C. Trump, GRAT Trust- F/B/O Elizabeth Trump Grau ","New York, NY",Trust,Trustee,November-97,1/19/2017
"White House/Trump, Donald J",510,Trust U/W/O Fred C. Trump - F/B/O Elizabeth Trump Grau ,"New York, NY",Trust,Trustee,April-01,1/19/2017
"White House/Trump, Donald J",511,Maryanne Trump GRAT Trust- F/B/O Elizabeth Trump Grau ,"New York, NY",Trust,Trustee,November-97,1/19/2017
"White House/Trump, Donald J",512,Trust U/W/O Fred C. Trump - F/B/O the grandchildren of Fred C. Trump ,"New York, NY",Trust,Trustee,April-01,1/19/2017
"White House/Trump, Donald J",514,"The Donald J. Trump grantor Trust - DJT is the Trustee Successor- Trustee Is Donald J. Trump, Jr. ","New York, NY",Trust,Trustee,November-97,12/31/2016
"White House/Trump, Donald J",515,The Donald J. Trump Revocable Trust ,"New York, NY",Trust,Trustee,April-14,1/19/2017
"White House/Trump, Donald J",516,The Police Athletic League Inc ,"New York, NY",Non profit,Member of the Board,July-86,1/19/2017
"White House/Trump, Donald J",517,DT Bali Golf Manager LLC ,"New York, NY",LLC,President,6/23/2015,1/19/2017
"White House/Trump, Donald J",518,DT Bali Golf Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",519,DT Bali Hotel Manager LLC ,"New York, NY",LLC,President,6/23/2015,1/19/2017
"White House/Trump, Donald J",520,DT Ball Hotel Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",521,DT Ball Technical Services Manager LLC ,"New York, NY",LLC,Member/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",522,DT Bali Technical Services Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",523,DT Connect Europe Limited,"Turnberry, Scotland",Foreign Entity,Director,2/13/2015,1/19/2017
"White House/Trump, Donald J",524,DT Endeavor I LLC ,"New York, NY",LLC,President,1/4/2016,1/19/2017
"White House/Trump, Donald J",525,DT Endeavor I Member Corp.,"New York, NY",Corporation,Director/Chairman/President,1/4/2016,1/19/2017
"White House/Trump, Donald J",526,DT Jeddah Technical Services Advisor LLC ,"New York, NY",LLC,Member/President,08/21/15,10/26/2015
"White House/Trump, Donald J",527,DT Jeddah Technical Services Advisor Member Corp.,"New York, NY",Corporation,Director/Chairman/President,08/21/15,10/22/2015
"White House/Trump, Donald J",528,DT Jeddah Technical Services Manager LLC ,"New York, NY",LLC,Member/President,8/31/2015,11/15/2016
"White House/Trump, Donald J",529,DT Jeddah Technical Services Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,8/31/2015,11/15/2016
"White House/Trump, Donald J",530,DT Lido Golf Manager LLC ,"New York, NY",LLC,President,6/23/2015,1/19/2017
"White House/Trump, Donald J",531,DT Lido Golf Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",532,DT Lido Hotel Manager LLC ,"New York, NY",LLC,President,6/23/2015,1/19/2017
"White House/Trump, Donald J",533,DT Lido Hotel Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",534,DT Lido Technical Services Manager LLC ,"New York, NY",LLC,Member/President,6/23/2015,1/19/2017
"White House/Trump, Donald J",535,DT Lido Technical Services Manager Member Corp.,"New York, NY",Corporation,Director/Chairman/President,6/23/2015,1/19/2017
